tensor,shape,dtype,n_params
model.layers.5.self_attn.q_norm.weight,"(128,)",BF16,128
model.layers.6.input_layernorm.weight,"(1024,)",BF16,1024
model.layers.6.post_attention_layernorm.weight,"(1024,)",BF16,1024
model.layers.6.self_attn.k_norm.weight,"(128,)",BF16,128
model.layers.6.self_attn.q_norm.weight,"(128,)",BF16,128
model.layers.7.input_layernorm.weight,"(1024,)",BF16,1024
model.layers.7.post_attention_layernorm.weight,"(1024,)",BF16,1024
model.layers.7.self_attn.k_norm.weight,"(128,)",BF16,128
model.layers.7.self_attn.q_norm.weight,"(128,)",BF16,128
model.layers.8.input_layernorm.weight,"(1024,)",BF16,1024
model.layers.8.post_attention_layernorm.weight,"(1024,)",BF16,1024
model.layers.8.self_attn.k_norm.weight,"(128,)",BF16,128
model.layers.8.self_attn.q_norm.weight,"(128,)",BF16,128
model.layers.9.input_layernorm.weight,"(1024,)",BF16,1024
model.layers.9.post_attention_layernorm.weight,"(1024,)",BF16,1024
model.layers.9.self_attn.k_norm.weight,"(128,)",BF16,128
model.layers.9.self_attn.q_norm.weight,"(128,)",BF16,128
model.norm.weight,"(1024,)",BF16,1024
